somaparib;ADaH m;A
tveS;adyumnAya zuSm;iZe
m;anave daD;uH
kqSw;ayaH tveS;AsaH
ih;a pr;a
havAmahe agn;iH
krIx;am vaH
d;adamAnAt biBIy;At
vqSw;im n;a
ha y;Anti
j;Anam eSAm
jAt;aH zriy;e
asm;e soma
vaH y;am
ih;a kr;atum
y;e p;qSatIBiH
te ;agne
t;at zaMy;oH
v;aruZaH y;aTA
havyavAhana y;am
agne aruS;am
st;omam mitr;asya
ps;araH v;aruZasya
;iSam ;Urjam
sTir;A vaH
daByate j;anaH
raZyanti kv:a
t;apuSim ;A
v;izve saj;oSasaH
sTir;am h;i
pr;a naH
;apa ty;am
m;eDyAtiTiH k;aZvaH
pr;a zaMsa
tira v;i
pratiSk;aBe yuSm;Akam
namasv;inaH ;upa
suS;ahA t;Ani
zagD;i pUrD;i
stot;A vaH
marutaH m;artyeSitaH
m;adAya vaH
m;ahi ps;araH
pr;aSwiH vahati
c;iketati y;aTA
v;Ajasya s;anitA
tv;am t;asya
pUrD;i pr;a
eSAm s;usaMskqtAH
v;i caranti
DUnuT;a n;i
Ga dIrG;am
t;aviSI p;anIyasI
z;atruH vivid;e
v;izvam cit
svarv;ide B;uvanAni
aryam;A s;am
div;aH n;a
m;arutaH y;at
pr;acetasaH v;aruZaH
vAzr;AH aBijY;u
cit pad;A
;agne dev;eSu
;ixAm suv;IrAm
yajY;am n;ayaTa
atr;iZam daha
samiT;A mit;adrO
p;arvatAnAm nah;i
vIxupAZ;iBiH citr;AH
s;am pUSan
pr;acetase mIX;uSwamAya
aB;i sUy;avasam
eSAm v;ayaH
g;aviSwiSu s;am
vidy;utaH ;asAmi
vAzr;A iva
qt;am yat;e
div;aH ca
dev;aH n;a
kv:a nUn;am
cat;uraH cit
viYcanti v;anasp;atIn
n;avavAstvam bqh;adraTam
h;i sahasaH
naH indo
hurazc;itam dUr;am
rAy;aH puruB;USu
Asy:e parj;anyaH
n;a durukt;Aya
j;amBe r;asasya
p;atiH m;antram
dv;iSaH pur;aH
pqTiv;I cit
van;inaH pqTivy;AH
nah;i vaH
suvit;A kv:a
;A naraH
j;iGAMsataH b;qhadBAno
sm;asi sma
vizvasOBaga h;iraZyavAzImattama
suS;aZA kqDi
pqT;um mih;aH
;it agne
;AyuDA parAZ;ude
n;AriByaH g;ave
meSy:e n;qByaH
ukSit;aH y;am
vaH mqg;aH
devay;antam sumn;EH
pUrDi svaDAvaH
k;asya v;arpasA
g;oSu ;aGnyam
s;am ha
viz;Am devayat;InAm
praj;AH am;qtasya
jayati tv;ayA
;aCa vada
agn;im m;anuSaH
im;AH ;qcaH
agn;im m;eDyAtiTiH
gAt ;upa
Gn;antam m;A
agn;im sUkt;eBiH
deva pr;a
mah;aH te
;Ixate j;anAsaH
asti vaH
dev;AsaH tvA
n;u cit
bruvate ;aDvan
caranti arc;ayaH
s;am sIdasva
sazc;ataH naya
h;i suS;ahA
ha y;at
n;a mAt;A
k;aZvam dad;a
y;am tvA
navajvAr;aH ;aDvane
viz;Am asi
Izata agn;iH
t;apurjamBa y;aH
y;aH m;artyaH
g;anta nUn;am
pate devay;antaH
v;asu s;a
svan;At mar;utAm
zr;iyam v;asAnAH
v;arSiSWaH ;A
b;ADase soma
vqZImahe g;anta
te praj;AH
p;qSatIH ayugDvam
h;i j;Anam
d;asyave s;ahaH
vAG;adBiH vihv;ayAmahe
m;artyeSitaH ;A
ca v;Acam
aryam;A dev;AH
gaZ;am tveS;am
y;AmaBiH m;arutaH
zr;iyam v;ayaH
marutaH parimany;ave
v;qSA y;am
t;anA gir;A
v;i ;ojasA
n;a raZyanti
p;qSatIBiH qSw;iBiH
u v;izvAni
;okAMsi cakrir;e
tir;aH sug;aH
yAta z;IBam
kr;atvA marutaH
s;a DIt;aye
pr;Asi ud;aram
s;usaMskqtAH aB;IzavaH
dev;I etu
miyeDya sqj;a
m;artyaH z;izIte
zqZ;oti k;aH
