sah;a t;e
dev;AnAm dUt;aH
tok;Aya t;anayAya
;aDa y;at
y;aH p;atiH
tv;am deva
t;at ;okaH
naH mitr;aH
bqh;at v;ayaH
m;Arutam gaZ;am
ca agn;iH
tv;Am g;iraH
saty;am ;it
yajY;am azv;inA
tv;am aVg;a
v;iprAsaH mat;iBiH
p;ari cit
s;am asm;e
indra y;e
qt;asya paT;A
h;i sma
;indram mar;utaH
;A dade
vA y;eSu
ur;u jr;ayaH
s;a tv;am
me ;iti
naH div;aH
s;am iDImahi
;A y;asmin
uS;Asam Imahe
sukr;atuH ;agne
jy;otiSA t;amaH
barh;iH As;ade
;A gatam
;UrjaH napAt
pr;a dev;am
qt;asya y;onim
tvA cac;akSa
y;at vA
mah;aH rAy;e
mitr;aH v;aruZaH
ut;a naH
sAk;am ;indraH
naH v;asUni
tv;aSwA v;ajram
saty;am ut;a
;A yAhi
te indra
n;a s;a
n;i asmE
pur;u sah;asrA
krAZ;A y;at
div;aH n;a
t;ava ah;am
aB;i tiSWa
pr;a ;it
;avasA z;aMtamena
;indraH asya
s;ahasaH sUno
naH ;atra
;it tvA
n;a t;asya
z;am y;oH
Ga saty;am
tv;am h;i
ih;a dev;An
u naH
raTy:aH n;a
kv:a vaH
tv;am ;ekaH
vaH devAH
h;astayataH ;adriH
tv;Am agne
v;i rAjati
p;ari y;e
iva pr;a
t;ena ah;am
te vay;am
te agne
;ava tasTe
;A sv;e
;A gahi
sah;asrA p;ari
m;ahi zr;avaH
y;at vaH
;anu eti
B;agaH savit;A
y;e naH
ev;a h;i
v;izvA jAt;Ani
pr;ati me
avit;A tan;UnAm
y;at ca
Gqt;am n;a
;it v;E
pur;u cit
r;aTam n;a
v;aruZa m;itra
naH aB;i
zuBaH patI
;A s;a
any;at ;asti
v;ayaH n;a
pqTiv;Im dy;Am
me dev;aH
y;am agne
;anu vartate
r;odasI ;anu
v;izvam B;uvanam
y;aTA cit
n;a y;aH
p;iba sut;asya
;ati ;aMhaH
m;A u
y;A ca
n;i DImahi
y;aH me
;A ;ava
s;Uryasya razm;iBiH
y;ajiSWam m;AnuSe
qt;am ;it
pAh;i gqZat;aH
k;at u
ut;a y;at
k;aH n;u
parjanya m;ahi
asm;in yajY;e
cakr;am n;a
y;aH asmE
s;Urye priy;aH
vaH ady;a
d;EvyA h;otArA
maGavan n;a
t;AH asya
vart;iH yAtam
azv;inA ;A
;upa bruve
;A vAm
y;aH im;e
g;oBiH syAma
s;am indra
g;AvaH n;a
prAt;ar ;ahnaH
y;at ha
y;at Im
m;ayaH karat
;api k;arZe
n;iH amoci
maGavan t;uByam
vidv;An paT;aH
gqh;am indra
;A huvAmahe
par;aH y;at
