g;IH eS;a
puSyema t;anayam
dUr;At Ar;At
v;izve ;it
g;arBe s;antam
titviS;e z;avaH
viSpuliVgak;AH viS;asya
aB;iSwayaH t;am
asya qt;am
tr;iH dev;atAtA
gAyatr;eZa s;am
duSwut;iH draviZod;eSu
indrAgnI v;asunaH
h;i BUy;AH
akqZutam vic;akSe
pajriy;aH vAm
p;arvatam mah;Am
b;anDuH me
ca hiraZy;ayena
sv;am ;anu
many;unA d;akSasya
br;AhmaZAt indra
n;araH yajY;EH
vidm;anA taraZitv;A
rariv;An ajAzva
;astoSata sv;aBAnavaH
y;at ca
daDe h;astayoH
sacante samudr;am
te viS;am
;ahan vim;imAnaH
r;ajAMsi y;aH
;anu g;Am
v;andamAnaH t;at
st;qBiH upahvar;eSu
u ady;a
dakSiZAv;qtaH y;AH
pr;a vIry:eZa
baB;UTa t;Am
vrat;e te
manyum;IH sam;adanasya
g;oBiH azv;inA
vAjinIvati eS;A
vay;am D;anA
m;ama t;asya
ag;astyaH nar;Am
vAm r;uzataH
gIrB;iH varuZa
janayanta y;oSaZaH
g;irvAhaH vIra
aB;igUrtam v;aSawkqtam
prayat;i aDvar;e
pr;ati voce
m;artyasya mAy;inaH
Asate sUyavas;At
m;aDumat p;ArTivam
y;antam dad;arza
aruhan div;aH
rAt;iH pqZat;aH
yaz;asam vid;aTasya
t;am yuYjATAm
v;ayaH jy;otiSmatIm
mah;e s;ahasA
;avase johavImi
manday;atsaKam asy;a
tIvr;EH s;omEH
mitr;aH v;izvABiH
apacanta vIr;AH
tvA n;avIyasIm
;anu amany;anta
devayajy;ayA kSay;advIrasya
maGavan k;Amam
y;onA g;arBe
praj;AyAH am;qtam
u ha
varD;ayamAnaH ;AyuH
niSkqt;am makS;u
pAriSat kr;atuBiH
;indra z;ikSan
z;aMsyam v;arDanam
;iti kr;atvA
Ay;oH pr;a
;azvasya vAj;inaH
rArahAZ;AH aB;i
arv;AV h;avAmahe
pItv;A zatakrato
parj;anyAH j;invanti
eS;e t;at
ena svaBiSw;ayaH
zcamnan t;e
;indram k;utsaH
bahul;AH ;adridugDAH
saMd;Anam ;arvantam
pqT;uH r;aTaH
v;i jaGAna
vizv;ataH n;a
s;inDoH iva
n;a durg;At
catvAriMz;at d;azaraTasya
mar;utaH vakS;aZAByaH
zr;avoBiH ;asti
zat;akratum m;aMhiSWam
v;qSaZaH y;am
acakr;e dy;AvAkS;AmA
nady:aH r;oruvat
tir;aH samudr;am
marutaH iy;am
nady:aH vavr;iZA
s;omapItaye ;agnISomO
s;UrAt ;azvam
;avindat div;aH
r;aTam savit;A
ucc;AbuDnam cakraTuH
pAraya ;apa
id;am pitr;e
;ekaH ;it
virAS;Aw AZ;im
sasv;ar ha
D;anAni t;at
p;ari BUSa
ev;a t;ava
tvA sam;iDam
tatAna ;upa
iva hast;inaH
rayIZ;Am iC;anta
;iSam v;ahantIH
str;iyaH sat;IH
jy;otiH p;ari
r;ajasaH BAn;um
r;udrAH ;avaH
cit d;ivA
uB;e dy;AvApqTiv;I
arujaH pr;a
aBimAtiS;AhaH Apy;AyamAnaH
uSaH ;aTa
eti s;UryaH
citr;am r;ADaH
te kAvy;aH
samAn;eBiH vqSaBa
BAn;um ;aruSIH
enAn ;iti
h;avyaH B;areSu
y;e ;qkSAH
azvinA h;ayantA
yajY;am vaSwu
AsAm maGavan
n;qtamAya yahv;IH
m;anma girikS;ite
k;asya br;ahmAZi
zr;avAMsi naH
invatam k;im
pr;eSWAH vay;am
saj;UH azv;iByAm
Ap;qCyam kr;atum
svan;ayena datt;AH
qjukr;atuH s;am
sTir;am marutaH
z;izum prAc;Ajihvam
y;at v;azAma
pqTivy;Am y;adi
r;AjAnam ;AGqZiH
ziv;ABiH n;a
j;anAnAm r;AjA
m;artyaH asm;Akam
sukratUy;A viv;asvate
UrZute v;akSaH
tm;anA tv;aSwA
;anu p;unar
;aDi ;indram
s;Anum v;ajreZa
v;ahantaH d;uraH
tv;Am uSar
;aha t;am
gAt;um IS;aTuH
g;iraH juSAZ;A
DAtam aB;i
;aBvAt saMg;aCamAne
juSasva naH
vAt;Apyam tv;am
s;ahantamaH zuSm;intamaH
te Den;avaH
parAv;qjam pr;a
dev;AnAm ;AzAH
;anu gman
v;izvAH ;aDi
h;otA sv:ar
r;AjA h;i
bqhat;e ;A
varuZa p;Azam
asm;e soma
m;anaH p;unar
;A agan
sPAt;im ;A
indrAgnI citr;atamaH
zasyate dur;aH
mahin;A vizv;ataH
puraet;A Bava
dev;An s;a
dy;AvApqTiv;I ;anu
vid;uSA cit
vIry:AZi pr;a
;A mah;e
Im asat
indra v;ivratA
y;Avat ;ojaH
j;anam pr;a
z;atrUn aB;i
m;artAya dev;An
n;i erire
te adrivaH
ady;a dev;An
m;adanti urukram;asya
m;aDumAn naH
marutaH g;otamaH
t;at s;u
BeSaj;A tr;iH
KyaH ;A
s;a v;Ajasya
pr;a d;izam
kadr;IcI k;am
vqtr;am vqtrat;aram
divisp;qzam z;uciH
tv;am pAhi
asya ;A
iy;am s;A
nazyati k;im
;agnISomA hav;iSaH
t;at zuzrAva
ariZItam k;uha
upav;AcyaH asmatr;A
;asi ;apa
tv;Am avasy;avaH
ant;ar pazyanti
pr;a roci
puSw;am zr;at
;AgaH cakqm;a
g;AvaH t;aruZam
ahany:aH y;aH
puruhUta y;onO
pUrD;i pr;a
;UDar n;a
havAmahe v;asoH
tveS;apratIkA yam;aH
g;AvaH p;ibanti
asm;e ca
svaDAvaH p;Iyati
pipartana t;e
v;i yAti
Bujy;um azvinA
mah;atsu Aj;iSu
yAt;am vart;iH
BAhi prazastik;qt
v;i Ayan
nic;Ayya t;aSwA
;ixABiH vid;aTe
s;ADate mat;iH
B;aramAZAH ayaMsata
t;AsAm ;ahiH
vizp;atim ;ixAm
;it v;asUni
sv;Adma pitUn;Am
;ixAm suv;IrAm
;etAn ;upa
;amuYcatam gqBIt;An
ca vAj;inam
vr;AtAsaH t;ava
;akqZvata kS;ayam
agne d;uvaH
miTun;AsaH ;atra
y;oH ca
m;anyase v;izvAni
ark;EH vasUy;avaH
suk;qtam prAt;ar
v;aruZaH yAtay;ajjanaH
juSerata v;izve
;azvasya p;ari
;agmata zuB;e
sIdatAm praTam;A
uCati priy;A
aMz;uBiH B;ava
praty;aV v;izvam
zrIZ;an ;upa
qt;am yat;e
yuv;am s;inDUn
iDyase y;aH
zyet;aH j;enyaH
z;atrUn v;i
D;IraH sv;apAH
v;izvA vidv;An
pqTiv;I mAt;A
cat;uraH cit
;aTa s;omasya
naH mimItam
v;ipram ;aCa
;ut jiGnante
p;qTak sv:ar
aDvarazr;iyam zr;eSWam
v;i boDaya
zazamAn;Aya s;anti
anupUrv;am vqSaZA
sam;atsu tvA
j;amBe r;asasya
cit Arata
Ut;I sudAnavaH
dAz;uSe t;ABiH
akS;I nAsatyA
;it v;E
k;ena vA
v;iDyata vidy;utA
svAdm;AnaH r;asAnAm
zoc;iSkezam v;qSaZam
indra y;aH
t;am martAsaH
;AyUMSi tAriSat
y;at aBr;iyAm
z;evaH Ah;UryaH
zy;Avam azvinA
cit naH
naH tv;am
BiSajO anarv;an
piz;Acim indra
Ut;aye m;Arutam
parivarg;e ;indraH
sIm nayanti
s;acA s;ammizlaH
stoSam mah;aH
piba jy;eSWam
;atraye zat;adureSu
n;amoBiH Gqt;EH
sacAB;uvA yuv;am
Bara asm;aByam
y;Avat t;araH
st;anam n;a
pariv;artamAne t;asmin
vidv;An zrut;am
B;uvanam sisakSi
agn;im sUkt;eBiH
cit ;anDaH
mAt;aram p;unar
st;omaH marutaH
pqTiv;IH up;ari
arhasi ut;a
;azvena vAj;inA
;qSim p;ari
st;omAn aB;i
sar;aTam y;am
y;adi v;Ajasya
dev;EH naH
titviSe mah;I
Ay;oH im;AH
vqSap;AZeSu tiSWasi
Baja maGavan
maG;avA vizv;adarzataH
jaW;areSu p;arvataH
te kSeti
n;iH ;aMhasaH
s;a ziVkte
neSi p;anTAm
st;avamAneBiH ark;EH
bqh;antam apatyas;Acam
v;ipreBiH astu
indra m;AhinaH
m;aDuvarZam ;arcate
v;asu s;a
zr;otu naH
m;anasA y;aH
;At invasi
t;AH upar;atAti
pATaH pad;am
vqtrah;aZam s;acante
vid;e v;izvABiH
v;ajraH zn;aTitA
v;iDarmaZi t;e
sUr;iH div;aH
maK;AH ay;AsaH
asya y;uDyataH
;upa id;am
vay;am t;amasaH
mah;aH p;aram
aryam;A dev;AH
;akSitotiH sanet
;anu v;qdDayaH
yat;e m;aDvA
srut;iH div;aH
n;araH s;a
puSyanti v;Aryam
