eSAm iSir;AsaH adr;uhaH
n;qBiH st;avAnaH ;anu
arAD;asam hat;a maK;am
soma duSw;aram y;aH
;apracetasaH aB;i ven;AH
yAta p;ibaDyE ev;a
z;aryABiH n;a B;aramAZaH
razan;ABiH nayanti svAyuD;aH
hav;iSmAn ev;a pavasva
r;asam m;adAya G;qSvaye
s;a naH v;izvA
p;avamAnaH indo ray;im
v;izve dev;AH amatsata
m;qDaH ;apa s;omaH
asiSyadat kav;iH s;inDoH
tat;am t;antum acikradaH
nady:aH v;i gAhate
;A asarat tir;aH
mahiS;aH v;i gAhate
qB;uH D;IraH uz;anA
v;izvA D;AmAni vizvacakSaH
g;iraH ;indrAya matsar;am
dviS;aH tar;aDyE qZay;AH
nIyate ant;ar zuBr;AvatA
s;am aYjate kr;atum
ant;ar pav;itre ;AhitaH
darzat;aH r;aTaH ;agman
;ojasA marmqjy;ante apasy;uvaH
suparZ;AH m;aDumantaH ;indavaH
div;aH mUrD;AnaH pr;asTitAH
draps;AH udapr;utaH ;indram
svadit;am mAtar;izvanA pAvamAn;IH
te punAn;Aya praBUvaso
jAm;iH ;atke avyata
punAn;aH v;arivaH kqDi
ary;aH nazanta s;aniSanta
h;arim aruS;am div;aH
tvac;i ;iSam asm;aByam
v;aneSu zakun;aH n;a
iS;e pavasva D;ArayA
v;i gAhate r;AjA
sumqxIk;aH anavady;aH riz;AdAH
kr;atvA r;odasI antar;A
aBikr;andan kal;azam vAj;I
pratn;am saD;asTam ;A
D;armaZi kS;oH ;anIke
soma rAraZa saKy;e
aB;i g;AH acikradat
mah;aH cit h;i
b;iBrat arSasi aB;i
tozate zrIZ;an ugr;aH
v;Ajam saniSy;an ayAsIt
akSAr sah;asraDAraH asadat
;A pavasva deva
;amena v;izvA G;aniGnat
kSipr;aDanvA sam;atsu ;aSAXaH
d;asyave kar aB;Ikam
Bava naH y;aTA
Urm;im Iraya g;AH
;indavaH ;agman qt;asya
zyen;ajUtaH duh;e Im
saty;azuSmaH k;AmaH n;a
soma pariSicy;amAnaH v;ayaH
;A y;aH tasT;O
uB;e dy;AvA k;Avyena
sv;asare n;a g;AvaH
pavasva D;ArayA mar;utvate
pavasva D;ArayA yajY;eSu
p;arA vy:aktaH aruS;aH
ay;am s;omaH kapard;ine
;adriBiH sut;aH mah;e
r;AjA vEvasvat;aH y;atra
niSkqt;am s;aKA s;aKyuH
;ojiSWaH aDvar;e p;avasva
p;avamAnaH ;ojaH ;ajanayat
UrZu vIr;eBiH ;azvEH
mitr;Av;aruZA k;arAmahe ;A
d;akSeZa m;anasA jAyate
;upa yanti niSkqt;am
j;AH s;Uryasya dr;oZam
maDyam;am yuva ;A
t;am gIrB;iH vAcamIVKay;am
;anDasaH n;i barh;iSi
r;asam sut;aH pav;itram
zuBr;AvatA paT;A y;adi
;Apyam bqh;at eS;a
s;a varDit;A v;arDanaH
n;a vidy;ut stan;ayantI
Aviz;an aB;i tvA
ant;ar ukSit;aH ;indrasya
;arSa naH soma
h;ariH v;AjAya mqjyate
;iBaH r;AjA iva
hinvAn;aH v;Acam mat;iBiH
r;ajasI viv;evidat aBivr;ajan
aps;u madAmaH ;anDasA
div;i te n;ABA
soma z;atrUn k;anikranti
c;AruZaH uB;e nqc;akSAH
y;an s;am gaCate
yahv;IH qt;asya mAt;araH
Ay;uSu stan;ayan ;aDi
agriy;aH v;qSA ;ava
m;aDu aB;i im;am
vanuSyat;aH ;induH satr;AcA
garBa zqZuh;i br;avImi
ray;im asm;aByam soma
saMyat;I m;adaH sAkaMv;qDA
;indrAya vajr;iZe sun;ota
;induH ;indrasya saKy;am
v;Aram arSati asazc;ataH
;it asya k;artvA
pqtanAS;Aw n;a yajY;aH
v;AjasAtaye v;iprasya gqZat;aH
havAmahe p;avamAna svADy:aH
n;a BrAjase d;ivam
h;ariH tuYjAn;aH ;AyuDA
hinv;anti sapt;a DIt;ayaH
vqZImahe v;qSA pavasva
puruhUt;aH j;anAnAm v;izvA
upabd;iH ;iyarti s;omaH
pavate viv;evidat s;omaH
stut;aH ;induH ;indrAya
dev;AnAm ;asi h;i
samudr;aH praTam;e v;iDarman
;induH eS;a punAn;aH
h;ariH v;aneSu sIdati
aB;i arSa g;uhyam
;apyaH taviSyate vim;AnaH
kr;atuH ;induH vicakSaZ;aH
punAn;Aya praBUvaso v;arDa
v;i ;ojasA sut;aH
Gor;am ay;Asam ;azvam
hinvAn;aH janit;A r;odasyoH
v;Ajavat sut;aH s;a
iva s;inDavaH Gn;antaH
p;avasva vqSw;im ;A
n;ABaH n;ihitAH av;aH
car;uH n;a y;aH
pavasva en;A v;asUni
priy;am ;indrasya k;Amam
zyen;aH n;a v;aMsu
in;asya y;aH s;adane
razm;iBiH daz;aBiH BAri
suv;Iram Danvantu s;omAH
pras;upaH sAk;am Irate
y;oSAm aB;i niSkqt;am
c;Aru ;indrasya n;Ama
y;atra r;aZanti DIt;ayaH
y;e m;aDye pasty:AnAm
yaz;astaraH yaz;asAm kS;EtaH
suy;amA s;arasvatI uB;e
v;arDanti te m;ahaH
gAt;um kqZu soma
vqSaB;am payov;qDam priy;am
camUS;adaH samudr;iyAH apsar;asaH
punAn;aH indray;uH m;adam
sut;aH ;indrAya vAy;ave
;qSIZAm sapt;a DIt;iBiH
kav;ikratuH ;A pavasva
d;ivodAsAya z;ambaram ;aDa
;indo v;i ;avyam
sv;asAraH ;ApaH aB;i
qt;asya d;IDitim v;izvA
s;ara ras;A iva
mand;ayan ;indrAya m;aDumattamaH
s;am dev;EH zoBate
hiraZyav;it retoD;AH indo
ut;a id;am uttam;am
n;aBasA aB;i akramIt
ant;ar v;AZISu pr;a
sat;aH ;anti vA
ray;im soma zrav;Ayyam
svaranti bah;avaH manIS;iZaH
avy;ayA s;Idan y;onA
Az;avaH vAzr;AH arSanti
;indrasya kukS;A n;qBiH
kqt;am v;i cinuyAma
p;avasva m;aDumattamaH ;indrAya
dev;eByaH sut;aH h;ariH
j;AyamAnam s;am asvaran
asmE j;oSam aBarat
Badr;An kqZv;an indrahav;An
saty;am p;avamAnasya astu
matsar;AH indriy;AH h;ayAH
Urm;O s;inDuSu ant;ar
vAjin aGny;AH aB;i
tv;e naH Az;asaH
ray;im piz;aVgam bahul;am
;A n;i sIdasi
aB;i priy;AZi pavate
mAt;uH up;asTe v;ane
naH deva dev;atAte
praTam;aH v;i DArayaH
;arSati zat;am D;ArAH
ukS;A mimAti pr;ati
Im hinvanti agr;uvaH
vqSw;im ;aCa ;indo
pav;itre ;aDi mqjy;ate
n;aBaH ;arZaH cam;USu
p;avate v;Are avy;aye
v;izvAni dr;aviZAni naH
sunve y;aH v;asUnAm
suv;Iram ;iSuH n;a
;ati akSaran pr;a
mqjy;ate h;ariH s;attA
rohayaH div;i s;omaH
am;itrAn ;apa ac;itaH
div;aH p;ari v;izvA
sumn;e am;qtasya c;AruZaH
pavamAna s;Uryam viD;Are
DAH yUy;am pAta
v;izvAni v;AryA p;avamAnAsaH
n;i sIdasi sut;aH
dyutAn;aH kal;azAn acikradat
v;i sya manIS;Am
ary;aH ;adAzuSaH g;ayam
;A ;indram vizanti
arSati ;ahiH n;a
s;aptiH n;a vAjay;uH
indo pavase mad;intamaH
;aditeH qt;am yat;e
yatate p;aYca D;IraH
durit;A tara kav;iH
srava ;adabDaH suraB;intaraH
tozate ;A soma
h;ariZyA punAn;aH v;izvA
aDvar;e p;avasva maMhay;adrayiH
v;Ajam arSa ;indrasya
p;avasva s;UryaH dqz;e
soma j;eSi ca
z;uSmam indo eSAm
g;oBiH sqjy;ate ;oSaDISu
m;aryaH deva Danva
g;aBastyoH ;At Im
p;arihvqtim vay;am D;anAni
kqDi acod;asaH naH
v;Acam Ir;ayati hinv;ate
dr;uZA hit;aH hiyAn;aH
kS;arantaH parvatAv;qDaH p;ariSkqtAsaH
;asiknIm B;UmanaH div;aH
gata vAy;uH b;qhasp;atiH
jAt;AsaH ;indavaH svarv;idaH
v;ajrabAhum aB;i v;astrA
samAn;e ant;ar Dar;uZe
;akqZot ulok;am pr;a
zrIZAn;AH aps;u mqYjata
tv;Am soma p;avamAnam
vacov;idaH p;ari skqZvanti
kal;aze dev;avAtaH ;indrAya
v;asAnaH g;AH ap;aH
zuBr;aH tanv:am mqjAn;aH
D;armaZaH p;ateH punAn;asya
s;inDoH Urm;eH iva
AhutIv;qDam ;aganma b;iBrataH
t;am ;A pavasva
s;omAsaH vipazc;itaH ap;Am
pavasva suvit;Aya n;avyase
;it sv:ar dqz;e
sud;qzIkaH arZav;aH jyot;IraTaH
s;a naH B;agAya
ca n;azan naH
As;adam t;am tripqSW;e
s;argAH asqkSata s;Uryasya
v;i jajYe jan;ayan
t;am tvA dev;eByaH
p;oSam p;avamAnaH ;ati
;A viza samudr;am
sv;asAraH jAm;ayaH p;atim
avy;ayam y;at ;anti
Dart;A div;aH pavate
n;a g;AvaH qtAy;antIH
soma suzr;iyam ;indo
r;AjAnam man;anAH agqBZata
m;adam ay;A s;omaH
n;a B;aramAZaH g;aBastyoH
d;aDyAziraH pav;itram ;ati
;indo ;indrAya pIt;aye
aB;i sp;qDaH s;a
uttam;aH aB;i svaranti
;Avqtam tqt;Iye pqSW;e
h;ariH p;ari k;ozam
mqYjata aB;i g;AvaH
v;ane sv:ar y;at
vAj;I arSati n;qBiH
vacyasva camv:oH pUy;amAnaH
meSy:aH punAn;asya saMy;ataH
p;ayaH ;aTarvAZaH azizrayuH
acikradat n;qBiH yemAn;aH
;apa zv;Anam znaTiSwana
aB;i v;iprAH anUSata
p;ari sicyate kr;andan
punAtu naH y;at
d;aDAti g;arBam ;aditeH
mat;iBiH svarv;idam DanaMjay;aH
m;aDvaH Urm;iH van;anAH
;asAvi mitr;aH vqj;aneSu
DIj;avanaH asi soma
c;Aru ;induH ;arvAn
zumB;anti v;ipram DIt;iBiH
h;i suS;ahA t;Ani
s;omaH punAn;aH avy;aye
asazc;ataH ;asya sp;azaH
avyaT;iH Barat v;izvasmE
aB;i ray;im y;ena
indo camv:oH samajy;ase
pit;araH soma p;Urve
var;aH n;a y;onim
qt;asya DIt;iBiH d;ame
;indrAya soma pavase
v;izvA rUp;AZi Aviz;an
;arvataH v;i naH
j;aGniH vqtr;am amitr;iyam
draps;AsaH ;indavaH ;ApaH
saKy;e vay;am ;iyakSantaH
s;an y;onim ;A
mAmqje viSwamB;aH Dar;uZaH
;indrasya k;Amyam prasnAp;ayanti
v;izvAni v;AryA s;aKA
D;ArayA y;ayA s;Uryam
arSati v;iSZave v;qSAZam
D;Ama s;a ;indrAya
g;avyUtim ;aBayam ca
t;AH te kSarantu
divisp;qzam antarikSapr;AH B;uvaneSu
s;am asya h;arim
aMz;uH m;adAya aps;u
srava y;atra r;AjA
r;AjA s;inDUnAm avasiSwa
pav;itre ;A devAv;IH
yUy;am h;i soma
D;arman am;qtasya c;AruZaH
g;ATayA purAZy;A punAn;am
zrit;aH kAr;am b;iBrat
p;avamAnaH ;aDi dy;avi
s;omaH mIXv;An pavate
aruhat sah;asraBqSwiH jayati
ark;EH k;anikradat ;anu
sut;aH v;izvA D;AmAni
p;arSi r;ADaH maG;onAm
;indre s;omaH s;ahaH
iva dasm;aH aB;i
matIn;Am vizv;adevaH ;adAByaH
jaW;areSu ;A viza
vIray;uH zavasaH pate
n;ihitAH av;aH div;aH
hit;am ;avyaH v;AreBiH
asy;E ;ajItim pr;a
n;iH iyAya zr;iyam
v;aneSu avyata t;ava
mat;im et;e s;omAsaH
h;ariH ;indrasya aB;i
manIS;iZaH zyen;aH y;at
;indram mahat;e s;OBagAya
Danvasi ;iSam ;Urjam
p;avante m;adyam m;adam
;aZvyA z;UraH r;aTeBiH
;avyaH v;Aram v;i
pur;ohitaH t;am Imahe
asiSyadat ant;arikSe v;qSA
vAy;oH saKy;Aya k;artave
asadaH s;aH arSa
;indo sahasr;iZam ray;im
;avye vqSw;im naH
vajr;iZe sun;ota m;aDumattamam
mAt;araH h;arim pav;itre
sIdati gavy;ayI tv;ak
pavasva puraet;A asi
srava camv:oH pUy;amAnaH
;A ratnaD;AH y;onim
trit;aH biBarti v;aruZam
v;AjAn aB;i pavamAna
aB;i ty;am pUrvy;am
r;aTaH B;uvanAni v;izvA
zr;avasA s;adaH vid;uH
sv;asAraH ;aDi s;AnO
te pItv;A vqSaB;aH
ADUnvat;e ca sukrato
Diy;A hit;aH s;omaH
gqZAn;aH jam;adagninA hinvAn;aH
vIr;uDAm p;atiH ;indrAya
DAvati r;aMhamAZA v;i
s;an s;omaH pav;itram
azizrayuH dev;am dev;Aya
y;at te rAjan
vqSw;eH it;aH usr;iyaH
v;izvA aB;i D;Ama
g;iraH arSanti sasr;utaH
;indrAya pavase matsar;avAn
;indram azv;inA sAk;am
paraz;uH nanAza t;am
;A tiSWati r;aTam
aps;u y;ajate p;arImaZi
mAnavI ;induH janiSwa
paz;O n;a r;etaH
;anDasaH m;adeSu sarvaD;AH
aB;i ty;am g;AvaH
y;an iva s;atvaBiH
punAn;aH cam;U jan;ayan
yAsi g;onAm ;indreZa
s;Uryasya razm;iBiH s;a
pratic;akSAZaH asya BAn;uH
s;AnO avy;aye s;omaH
kr;andan y;onim aB;i
st;ukA iva vIt;A
g;onAm ;indrasya tv;am
yAsi razm;iBiH z;arDan
sahasr;iZam aB;i priy;AZi
kqSw;ayaH tv;am nqc;akSAH
bAkur;am d;qtim triD;Atu
gr;AvZA s;ome mahIy;ate
;indrAya pIt;aye ;At
naH indo zat;adAtu
;induH p;ari sasvaje
nqm;AdanaH p;avasva carSaZIs;ahe
m;adAya aps;u d;akSaH
iva bruvAZ;aH dev;aH
yamat s;a naH
j;anAnAm qB;uH D;IraH
y;aTA r;aTam nad;ISu
ray;im g;omantam azv;inam
v;astrA raBas;Ani datte
s;amBqtam r;asam s;arvam
vIt;irADasam p;avamAnaH qt;aH
p;ari g;oBiH ;uttaraH
t;anA t;am Im
pIy;USam duhate nqc;akSasaH
aB;i arSa ;anapacyutaH
ar;iH h;i s;a
;utsaH deva hiraZy;ayaH
mahiS;AH aheSata ;induH
punAn;Aya pr;a gAyata
dev;AH Adity;AH y;e
dUrak;e Bay;am vind;ati
;induH satrAj;it ;astqtaH
tv;am raTir;aH deva
g;iraH s;omaH p;avamAnaH
;asarji kal;azAn aB;i
ca d;admahe t;arat
pUrvy;aH pavate y;am
v;AreSu siYcata ;indrAya
v;arZam ;aDi g;oSu
punAn;aH uS;asaH v;i
p;ari srava v;AjasAtO
svast;iBiH s;adA naH
sumn;asya aDrigo dv;iH
n;a n;i miSanti
yam;A par;aH y;UnA
mahiS;AH iva aB;i
viSw;apam jan;ayan rocan;A
d;asyum avrat;am zqZv;e
pavate Ay;ave hinv;anti
j;uSwaH mitr;Aya v;aruZAya
y;azaH n;a tvA
;aCa h;i s;omaH
zravasy;avaH ;aCa k;ozam
m;adAya k;am nqc;akSAH
pratir;an m;ahi zr;avaH
v;izvA v;asUni b;iBratam
n;a razm;iBiH p;ari
ukTy:am v;izvA v;asUni
puSw;am-puSwam p;ari srava
n;a takti ;etazaH
j;anam p;avamAnAH asqkSata
z;aryAZi daDate dev;aH
suvAn;aH akSAr sah;asraDAraH
pUt;am aznAti svadit;am
v;qSA z;uSmeZa bADate
D;ArayA ;indo v;izvAH
punIhi naH brahmasav;EH
vAt;Apyam vizv;azcandram pr;a
;A suv;Iryam suvAn;AH
devAv;IH aGazaMsah;A j;aGniH
navante ev;a naH
k;Avyam ev;a punAn;aH
p;avasva sv;apAH asm;e
yat;aH v;Ajam ;A
sy;a puruvrat;aH jajYAn;aH
usr;iyAH ;apyAH ant;ar
D;ArAH m;aDumatIH asqgran
m;Am punIhi vizv;ataH
pUy;amAnaH tv;ayA h;i
sIdAti kal;azam devay;uH
kratuv;it naH ukTy:aH
;amqDraH sahasras;AH pary;ayAH
pIy;USam pUrvy;am y;at
pary;eti vizv;ataH s;a
antar;A kave z;uciH
napt;IH ;aditeH qt;am
naH soma saMy;atam
D;ArAH k;armaZA dev;avItO
c;akSasi priy;am t;am
devay;uH p;avasva v;AjasAtaye
n;a yajY;EH svadayanta
t;arat s;a mand;I
h;ariH ;AnItaH puruv;AraH
pr;a gAhase ;ajIjanaH
gAhate y;adi viv;asvataH
g;iraH s;omam namasya
im;e mah;I r;odasI
devay;antaH kakS;Ivate zat;ahimAya
anUSata mUrD;an yajY;asya
kav;iH s;omaH dev;eSu
patyate s;am I
z;izum n;avam jajYAn;am
;indrAya pavate m;adaH
ant;ar Iyate n;arA
barh;iH razan;ABiH nayanti
am;qtAya mah;e kS;ayAya
;arocayaH hinvAn;aH m;AnuSIH
priy;am pratn;am saD;asTam
uzmasi ;A pavasva
c;Arum sukqty;ayA Imahe
marj;ayantaH ;aCa barh;iH
r;AjA iva suvrat;aH
punAn;aH arSati devAv;IH
;asya vrat;Ani n;a
m;adam aB;i dv;izavasam
pavasva samudr;At s;omaH
;indram s;omaH mAd;ayan
rocan;e div;aH t;ava
bqhat;aH s;am sravanti
;induH iSyati samudr;asya
;ut ;AtEH jihate
z;azvat t;at naH
yAti ;aZvyA z;UraH
veD;Am azAsata zriy;e
g;ave dev;eByaH anukAmak;qt
ca s;OBagA ;indo
samudr;am praTam;aH v;i
;asya vrat;eSu ;api
j;ujoSate p;ari v;ArAZi
et;e s;omAsaH Az;avaH
manT;inA g;oBiH zrIZIta
bqh;at ;arSat mitr;asya
v;anyam asadat punAn;aH
s;Urye naH ;A
m;artaH n;a vqta
adB;iH v;qSA v;qSZe
dakSas;ADanaH eS;a n;qBiH
k;ASWAm vAj;inaH akrata
yajY;EH avIvqDan p;avamAna
n;Ama d;aDAnaH kav;iH
pavate sut;aH p;ayaH
mqjanti m;arjyam p;avamAnam
p;OMsyam zukr;Am vayanti
sut;aH ;indrAya v;iSZave
ca y;atra braDn;asya
t;asmE s;arasvatI duhe
mah;I apAr;e r;ajasI
D;Ayase ;A uB;e
soma asi DAray;uH
rUp;A pariy;Ati ;qkvaBiH
tIvr;aH saD;asTam ;A
v;qSZe r;oruvat aMz;uH
kqta upast;araZam camv:oH
naH asy;a p;ariSUtiH
stotr;e suv;Iryam pr;a
pun;anti s;omam mah;e
B;uvanasya rAjasi ;aTa
mAt;arA z;uciH r;omAZi
aB;i v;izvAH m;qDaH
p;ayaH t;ava vrat;e
razm;iBiH yatate darzat;aH
r;aTaH ;agman ukT;Ani
soma s;uSutaH p;ari
mayoB;uvam v;ahnim ady;a
s;inDuBiH v;qSA ;agre
p;Atave asy;a ;it
k;anikradat daz;aBiH jAm;iBiH
G;qSvayaH s;omAsaH kqZvate
ay;am div;aH iyarti
mat;iBiH c;anohitaH praroc;ayan
y;e g;AvaH n;a
asya santu ket;avaH
h;arim mqjanti ;induH
sut;aH h;ariH arSati
pqTivy;E z;am ca
sud;AnavaH prIZanti t;am
dr;oZAni As;adam aps;u
vizv;acarSaZiH aB;i y;onim
azv;inam vAvazAn;aH raTirAy;atAm
dev;atAtaye s;a pavasva
pavate c;Aru matsar;aH
iva tasTima ;indrAya
m;aDumAn soma naH
amitr;iyam s;asniH v;Ajam
n;a jAt;aH ;ava
z;akmaBiH asm;aByam rodasI
y;uvAnam ;A daDuH
aMz;um rihanti mat;ayaH
saty;e v;iDarman vAj;I
naH Az;asaH pun;Ati
;A dAv;ane v;asUnAm
pur;UZi sAt;aye v;asUni
B;avan eS;a v;asUni
;indrAya v;qSaZam m;adam
p;ari yAsi g;onAm
svAdate h;ariH tir;aH
;ut v;Acam Ir;ayati
sug;Ani ur;O pavasva
sarvaD;AH asi y;at
v;ajraH vqSaB;aH viB;UvasuH
saDam;Ade y;AH te
savit;A suy;amA s;arasvatI
v;aruZAya vAy;ave b;qhasp;ataye
suv;Iryam eS;a tunn;aH
sv;ena r;asena pqYc;an
sIda n;i barh;iSi
mqjy;ase soma sAt;aye
Danva braDn;aH cit
AyuS;ak ;indram g;aCan
y;at g;oBiH vAsayiSy;ase
viSw;api manIS;iZaH matsar;AsaH
iSw;ayAmA n;AsatyA iva
;indo sah;asraBarZasam tuvidyumn;am
;anu dy;uBiH dv;A
jan;ayan ;upAvasuH p;avamAna
ut;a zr;avaH s;omaH
yuvate v;evijAnaH ;it
s;adAMsi punAn;aH indo
punAn;aH ;azvaH n;a
hav;iH daDanv;An y;aH
mumucm;ahe ;A indo
y;e vA j;aneSu
pur;u sug;A tok;Aya
pakv;am DUnavat r;aZAya
s;arasvatI ;ixA mah;I
aB;i sah;asraZItiH y;atiH
Bara ray;im vIr;avatIm
z;atrUn aB;i ;A
sah;asrA mah;e v;AjAya
kqDi ray;im naH
;indo v;izvAn aB;i
azvahay;EH ;anizitam n;amoBiH
v;iSZoH brahm;A dev;AnAm
vAG;adBiH ;amartyaH p;ari
sIdata punAn;Aya pr;a
indo mah;e r;aZe
et;am u ty;am
ay;Asam h;arim aruS;am
deva Danva pasty:AvAn
;aCa carAmasi t;at
gqZat;e niy;utvAn m;aDvaH
;A naH indo
Az;iram pUrvy;e vy:omani
n;a prav;atA asaran
;aDi tvac;i g;avAm
amqta m;artyeSu ;A
;qSimanAH y;aH qSik;qt
m;adAya udagrAB;asya nam;ayan
v;qSA ;aTa dev;AnAm
pate vay;am ;indo
dADAra s;am ;iSaH
d;ivam v;i DAvati
;induH satr;AcA m;anasA
dAz;uSe v;asu s;omAH
g;oBiH vAsayiSy;ase samudr;aH
parvatAv;qDaH p;ariSkqtAsaH ;indavaH
;asiSyadat ;atyaH n;a
s;Uryasya iva n;a
;ava k;alpeSu naH
;iSaH dAH B;ava
arSati p;avasva soma
soma p;invan D;ArAH
mar;udByaH vAy;ave m;adaH
jy;otIMSi pavamAna s;UryaH
bqhat;e dev;atAtaye y;atra
kqDi aB;i arSa
suv;Iryam m;andamAnaH svAyuDa
sah;asraDAre ;ava t;AH
tat;aH BiS;ak upalaprakS;iZI
;aCa k;ozam maDuzc;utam
aMz;uH y;avena pipize
;anDasA makS;UtameBiH ;ahaBiH
div;aH citr;am n;a
sIdati adB;iH g;oBiH
Ay;avaH h;arim nad;ISu
p;ari BUSata zriy;e
;A te indo
vAvqDuH tv;Am dev;AsaH
m;aDumattamaH ;indrAya soma
naH arSa divy;Am
n;araH s;anIxABiH daz;aBiH
p;avamAnam juSanta ;asAvi
;apa soma m;qDaH
matsar;am asy;a pratn;Am
g;AH viveda div;aH
n;ihitaH yam;A par;aH
devap;AnaH mah;aH cit
s;anitA D;anAni tigm;AyuDaH
arSati n;qBiH DUt;aH
sam;atsu ;anapacyutA nAnAn;am
bqhat;IH asqgran akt;aH
n;ABA pqTivy;AH Dar;uZaH
mqjyate s;AnO ;avye
Az;avaH r;aTAH iva
suparZ;aH avyaT;iH Barat
r;AjAnam sukrato div;aH
;aDi z;eva maMhase
;ati ;ava z;AdeSu
arSasi zyen;aH n;a
;indo dev;apsarAH asi
;arAtayaH ary;aH nazanta
akqpanta pUrv;IH z;izum
sy;a pIt;aye sut;aH
s;iSAsati div;aH r;etasA
vqtr;AZAm asi soma
y;adi m;anasaH v;enataH
zrav;Ayyasya tIrT;e SaSw;im
Atm;A ;indrasya Bavasi
yanti g;opatim pqC;amAnAH
p;avasva ;oSaDIByaH p;avasva
yajY;EH p;ari BUSata
r;ocamAnaH v;ayaH daDe
asi s;aKA iva
dyum;attamaH amqtatv;Aya GoS;ayaH
t;ava ;avasA sy;Ama
;indrAya s;omaH r;aZyaH
n;a s;Ama t;at
mad;intamAsaH p;ari k;ozam
gaCati et;am mqjanti
y;onim aB;i priy;am
Az;uBiH g;aCan ;indrasya
arSati tr;I saD;asTA
vAjay;antaH r;aTAH iva
t;amAMsi j;aVGanat p;avamAnasya
t;amAMsi soma y;oDyA
vqSw;im dev;eByaH d;uvaH
zuSm;iZaH r;ase v;izve
asarat pav;itre n;Ama
rakS;asaH indo atr;iZaH
aps;u draps;aH vAvqDe
Bara p;avamAna zrav;Ayyam
te indo suBv:am
arSati kr;atvA saD;asTam
;asuraH veda B;UmanaH
sut;aH mah;e v;AjAya
barh;aZA nirZ;ije kqta
v;qSan indo naH
Dart;ari aYj;ate v;i
;azvam raT;IH iva
ray;im ca naH
t;at s;omaH mahiS;aH
;azvaH n;a dev;An
Den;avaH duduhre saty;Am
v;qSA m;adaH ;A
v;AjAn aB;i pr;a
pUrv;IH viSwamB;aH div;aH
;A naH sutAsaH
pavate z;uci ;A
qj;um ca gAt;um
r;aTAH iva ;arvantaH
s;Uryasya dr;oZam nanakSe
mqj;anti tvA d;aza
kS;ipABiH s;am aYjate
s;OBagA viGn;antaH durit;A
ap;Am Urm;im sacate
k;azyapa udvarD;ayan g;iraH
s;abanDavaH p;aYca vr;AtAH
ganDarv;am divy;am nqc;akSasam
punAn;aH arSati sah;asraDAraH
aBr;A iva r;odasI
b;anDUn im;An ;avarAn
;indram g;aCan kav;ikratuH
gavyay;uH s;a h;i
d;aza v;ane kr;Ixantam
pavante ;indavaH asm;aByam
iva zravasy;A aB;i
kqZute y;at s;iSAsati
v;asAnaH ;aDi s;AnO
soma p;avamAnam svADy:aH
te rAjan zqt;am
;A Bara s;oma
DAvati ;induH ;indrAya
m;ahaH ;A pyAyasva
pavasva devay;uH m;aDoH
v;AryA z;UraH y;an
sat;IH Urv;e g;AH
manIS;iZam ;AsInAH ant;ar
cit nid;aH y;atra
;aditeH ;aDi v;iprAsaH
suvAn;aH sot;qBiH ;aDi
pavasva m;adAya k;am
ahyan p;avamAnam ;aDi
naH pr;a k;Avyam
piz;aVgam bahul;am purusp;qham
asya h;arim h;arayaH
uSarb;uDam ;induH samudr;am
vIr;aH dakSas;ADanaH v;i
vivAsasi vay;am te
mqjAn;aH g;oBiH zrIZAn;aH
vA v;aDatre ;asvApayat
iva pr;a yayuH
t;ejiSWAH ap;aH maMh;anA
kav;iH k;Avyena sv:arcanAH
pur;A naH bAD;At
sv;asAraH Im jAm;ayaH
nqmZ;Ani b;iBratam saD;asTeSu
arep;asam ;avye h;ariH
k;AvyA s;aKA s;aKiByaH
mitr;aH vqj;aneSu yajY;iyaH
hinvAn;aH qt;am bqh;at
v;icarSaZim ;indum sah;asracakSasam
;iSaH y;aH ;atyaH
bqh;addiveSu h;arayaH v;i
v;AryA s;aKA s;aKiByaH
vAj;inaH vay;am v;izvA
jaVGanaH n;u n;avyase
pavate s;omaH indra
D;armaZA p;avamAna n;i
ArSey;am jamadagniv;at naH
;apracetasaH t;am saKAyaH
;A y;aH v;izvAni
tvA vAjin aGny;AH
mat;iBiH punAn;aH ;atyaH
;asi h;i priy;aH
zat;AmaGaH vim;AnaH r;ajasaH
sacate s;inDuSu zrit;aH
;ut Irate g;AvaH
zUS;e m;A�zcatve vA
n;aryaH ruc;e Bava
baBr;avaH ;indram g;aCantaH
n;Ama Av;iH kqZoti
p;azyan vqj;anA im;A
saMy;atam pipy;uSIm ;iSam
;asiSyadanta g;AvaH ;A
;asi maG;avA maG;avadByaH
ap;Am up;asTe kav;iH
Atm;ani kariSy;an vIry:am
y;at g;arBaH ;avqZIta
mAt;qBiH sqj;ata gayas;ADanam
k;AvyeSu r;antA ;anu
aps;u DUt;aH n;qBiH
vAvazAn;AH s;omam v;iprAH
Asate ;ut m;aDvaH
D;ArayA aB;i v;izvAni
v;aruZAya vAy;ave triD;Atu
vAjay;um ;avyaH v;AreSu
Dart;A naH ;ojasA
tv;Am uz;ijaH praTam;AH
tv;am v;ipraH aBavaH
cam;U sut;AH ;indram
jiGnase v;izvAni dAz;uSaH
jajYAn;am ukTy:am suS;ahA
mA j;AtavedaH punIh;i
Ut;iBiH jy;ok pazyema
n;qBiH am;qtaH m;artyeBiH
r;antayaH juS;anta y;at
uz;antam aMz;um pariy;antam
dev;AH dev;eByaH m;aDu
;arTam div;e-dive ;indo
p;ari net;A matIn;Am
