nit;ozanam vqSaB;am
;ArayA tuda
vakSy;Ami k;im
citr;atamam vayoD;Am
iva bAh;U
dy;OH n;a
div;aH agne
y;e s;ahAMsi
v;asunA d;am
;indra mah;A
y;aH enam
asm;at tigm;AyuDO
ajara vIt;I
avanoH ;AryAya
z;ucivrate r;AjantI
asmE mam;atA
tv;am h;i
g;aDyasya sAt;O
prad;ivi y;aH
;avaH iC;amAnaH
sumn;am iSw;aye
n;AmnA ;ati
t;askaraH n;a
nUn;am zruD;i
dev;ahUtiH vavqtyAt
y;uvA sud;akSaH
naH yajY;am
hr;utaH p;atataH
dr;oZe h;arayaH
asadat p;Atave
;A kqtam
am;qtasya kr;atvA
iva g;arte
n;a tant;ayaH
te urviy;A
v;i akt;Un
sTAtar ugra
pur;Am cyOtn;Aya
k;am m;anaH
d;akSiZA pArTav;AnAm
vqSaZA ;A
vAm janit;A
m;adaH ;indre
vizv;avArasya dAt;A
sukrato tv;am
y;adi sut;eBiH
ajAzva D;Ivato-DIvataH
y;ajasva tanv:am
AGqZe v;asoH
te zukr;AsaH
;anDasaH m;AGonam
dev;AsaH nar;Am
kIr;iH cit
pr;a yaCatam
aB;i vAj;ayantaH
m;uhuH Acakr;iH
Iyate ;ekaH
maGoni suv;Iram
Asu r;uzat
n;a t;ejasA
drav;iH n;a
v;asvI te
Im pqZata
n;Utanasya ;indra
tuvidyumn;asya sT;avirasya
naH gav;eSaZam
tv;ayA dqX;Ani
y;Ani cakr;aTuH
zUra bqh;an
sam;atsu s;a
y;am ;ajati
Dqt;avrataH Danad;AH
varDanti kSit;ayaH
;asmE vay;am
y;aH papr;O
sud;aMsasA saMrarAZ;e
sy;a dev;aH
naH duhit;A
n;i g;avAm
zat;Azrim n;ikAmam
;apratItaH b;iBrat
nqv;ataH indra
y;ajamAnasya sunvat;aH
katar;aH can;a
juSanta kAm;inaH
y;am ;avaTa
sIdatu ;A
qZacy;utam d;ivodAsam
yajY;aH m;anase
;A y;am
vigr;am DETe
;A jAt;am
s;a asm;AkeBiH
y;aH n;AsatyA
ca ;asi
y;ena v;asUni
citr;azociH vraj;asya
h;avyAH havante
y;aH r;ajAMsi
;IziSe prad;ivi
duhitar y;A
v;Ajam sanotu
v;anam indra
maDyam;A indra
;aDvAnayat durit;A
pr;a g;AH
tod;asya r;odasI
aB;i ;OhiSwa
te ;Ahutim
ca pakv;A
jy;AyAn ;ahan
kSatr;am ;anu
;indraH vqdD;amahAH
hiraZy;ayIH ant;arikSe
muYc;atam y;at
v;iDarmaZi dev;asya
rayivaH suv;Iram
d;am sup;atnI
vajrin sut;ukA
tvA h;avate
yuvasva gqZat;e
m;artAH ;ayajYasAcaH
;ut Urv;At
puSyasi tv;Am
z;avasA B;Uri
vEzvAnar;aH j;AyamAnaH
;ekaH ;it
cit ay;AH
daDAti devay;um
m;ahyam samr;Aw
iy;am adadAt
viDat;e r;Ajani
ady;utaH v;i
SaSw;im sah;asrA
bqh;at zoca
pqts;u j;anAn
sarv;atAtA iva
B;uvaH j;anasya
d;uvaH vanavase
;apAH naH
;indrAya pUrv;IH
vark tv;am
yujAn;aH ruj;at
hiraZy;ayam n;i
;oSaDISu nUnot
t;at viviSmaH
jAt;avedAH dy;AvaH
agAt padv;atIByaH
