nit;ozanam vqSaB;am
agne tv;otAH
t;apuH aG;am
pUS;aZam vay;am
sUn;uH s;ahasaH
pAhi girvaZaH
pqTiv;I vavqtyAH
mah;Am ;anUnam
y;at r;aZe
v;Aram agne
pr;a vAm
suk;qte z;ucivrate
sADaya im;am
BAn;um rurucuH
anuy;Ati pqTv;Im
bqh;antam c;andra
ket;um inDate
tvA puruzAka
sarasvati ;ava
n;i DakSi
tvA m;adAH
any;at ady;a
BIm;A y;at
yajY;eBiH zazam;e
rAranD;i miTat;IH
zamB;uvA indrAgn;I
pr;a pUS;aZam
d;Evyam j;anam
v;ajrAt dvit;A
p;ari g;AH
n;ABinA carSaZipr;AH
y;aH agn;I
ca naH
mqSyate praTam;aH
viz;Am kav;im
ty;ajasA m;artam
asqjaH ;aVgirasvAn
bADit;Aya div;e
Ixate sumn;am
pqSW;At ukT;eBiH
t;eBiH naH
kar pr;a
asm;Akam stuvat;Am
y;aH arc;iSA
zizIta ;atiTim
s;atvA ev;a
;A vasataH
vqSan vizv;ataH
viz;Am sam;qDaH
st;avante saDavIra
nezat m;AkIm
DIt;im d;Evyasya
asIdaH y;ajIyAn
satr;A asury:am
;apAkaH viB;AvA
dadqze pAvak;aH
r;akSase ay;am
asm;A-asmE ;it
zr;avaH naH
vay;am n;a
kqZ;oSi y;at
ukTavAhasA st;omeBiH
nemAnAm vaso
Danasp;qtam zUzuv;AMsam
vAvqD;asva ut;a
ay;oH y;adi
r;ADasA n;qtamAH
daDiDvam pur;aH
;indrAsomO ;ahim
zUra p;arSi
aruS;asya n;u
naH mitr;Av;aruZA
h;i tv;e
pUSan ih;a
vqzc;anti z;ikvasaH
agne Datt;e
t;AH nazanti
asya pr;ati
hotar m;anuSaH
;indrAsomA yuv;am
n;a k;ozaH
vIt;I h;otAram
m;artAya rip;ave
parAc;EH asm;e
pr;a ririce
;ati dv;iSaH
triv;arUTena n;ahuSA
vqtr;AZi v;i
naH Bava
id;am sumeD;AH
ukT;am indra
r;aZAH vA
vay;AH v;i
puruk;utsAya z;ikSan
h;i pr;acetAH
te BAg;aH
qSv;aH astu
uttAn;ahastaH n;amasA
;A sah;asram
;Avat zat;EH
ruruhuH indra
papIyAt dyukS;aH
asya v;izvAH
mar;utaH ;aDqSwAH
vid;uSe Bara
Urv;am g;avyam
j;aviSWam pat;ayatsu
;A carSaZipr;AH
cit g;antA
pr;ayatadakSiZam vAm;am
p;iproH ;ahimAyasya
t;e ;it
min;anti n;a
ay;am Iyate
cakqv;AMsam ;indram
t;uByam pUS;A
vakSi v;Ajam
v;izvasya vAG;ataH
brahmaZyat;aH vIra
j;ayan z;atrUn
spUrD;an priy;A
juhv;e aDvar;e
pqtanAS;Aham ugrA
purUvaso asuraGn;aH
maG;onI Badr;A
dev;aH eS;aH
agne zat;AyuSam
te v;eviSataH
;agne ;A
syandr;aH v;iSitaH
ca vAm
n;avIyasA ;agne
pUS;A par;astAt
;ava v;AjeSu
gIrB;iH ;A
v;i jAnAti
v;AjAya zr;avase
sAt;O pr;a
y;ayoH id;am
y;ujyeBiH ark;EH
s;arasvatIm ;A
vAj;I yAti
tuj;A z;UrAZAm
pur;aH naH
p;uSkarAt ;aDi
t;e asya
IDe ;aTarvaZaH
carSaZIn;Am sAk;am
n;amate n;a
ukT;A n;akiH
carSaZ;iByaH s;am
;UrmyAyAH tir;aH
n;akSantaH ;adrayaH
v;Ajam dev;ahitam
vAm s;omasya
ut;a gIrB;iH
zruSw;I vAm
pr;a sady;aH
y;am te
divaH duhitar
supray;asam p;aYca
;avindaH ket;um
v;Am vimucaH
;indrAgnI ap;At
mah;An ca
divy;Ani p;ArTivA
v;ajram vqtrah;aZam
v;Ajam ;akSaH
sT;avirasya dAt;A
p;Urve ;arDe
v;izvA dyumn;A
yayuH aruZay;ugBiH
zr;avasA v;i
dev;ahitam sanema
darzat;ABiH AB;iH
;aha enam
minAti div;e-dive
mimikSatAm maDuzc;utA
dartn;um ;Avat
t;ujim gqZ;antam
dyum;antam mah;Am
ukT;EH dyukS;aH
n;a z;ozucan
v;i s;admAni
eSAm sAk;am
n;amasA hUy;amAnA
rucAn;aH ay;am
v;i Ut;ayaH
yajY;ena sam;iDA
dyukS;aH m;adasya
k;adA can;a
jay;uSA raTyA
d;ardrat mah;Am
ev;a t;A
;aram te
v;aso puSw;im
Ad;ize ut;a
n;a sr;avantIH
viB;AvA svaDvar;A
;adrayaH AYjan
p;arvatasya pqSW;At
;indrA y;aH
v;i astaBnAt
jAt;avedasi priy;am
aruS;aH y;aH
anamat Biy;asA
t;at sUr;iBiH
DAt ady;a
;iSaH pinva
;agne tat;anTa
sacAn;aH t;Urvan
v;epI v;akvarI
s;u c;arataH
naH pr;a
paZ;ayaH indra
nqmZ;EH p;OMsyeBiH
vqt;A iva
mahina pr;eSWAH
naH dy;AvApqTiv;I
d;AtA v;asu
dardarIti j;ayan
zaryah;A tigm;azqVgaH
hotar iSit;aH
n;akSate t;umram
puSy;ase DAH
citr;arAtI t;A
vivAsasi bqh;at
h;i jAt;aH
;aDvanaH paT;aH
sv:ar v;izvA
agn;iH h;otA
tapiSWa t;apasA
pras;Aham y;eBiH
rocanasT;AH aj;areBiH
;ati zUra
v;i y;aH
v;i tasTe
akAri s;omaH
y;at p;uraH
martyatr;A t;at
n;idAyAH v;izveBiH
t;am pqC;antI
Ut;I s;a
;amartyaH avartr;aH
agne tv;at
qt;AvA ;indrA
vaSwi suSwut;im
dAz;uSe tv;am
qZ;oH p;uraH
vividre s;at
;A r;aTe
p;ibasi m;aDvaH
s;amBqtA t;AByAm
sut;aH p;iba
muh;e n;a
v;iprAn Bar;advAje
tv;am im;A
akt;Un tury;Ama
puruD;A tvAy;A
sud;Anave Diy;A
sUr;In r;akSa
indra tqnDi
v;qSZaH aruS;asya
t;ugram vetas;ave
n;i atr;iZam
c;arat triMz;at
indrAgn;I havAmahe
duduhe p;qzniH
havAmahe ;indrAgnI
savit;uH s;avImani
ahan tv;am
sut;aH m;adAya
h;avyam vIra
kS;Etavat y;azaH
atiTigv;Aya z;aMsyam
v;Ajasya sT;avirasya
sacan;asya deva
;indraH pqTivy;AH
AnuS;ak jAtavedaH
kS;Am v;apanti
;it h;i
vocam vid;aTA
naH t;asya
n;amIm sApy;am
;agne vAj;I
n;i dAz;uSe
v;izveSAm vaH
y;asya arat;iH
;ut t;UrvayAZam
jAt;A varD;ayantI
pr;a y;aH
s;aKyA v;ajreZa
cyavAnA sumat;im
karamB;am any;aH
n;a y;aH
r;atnA d;aDAnA
bqhat;I viBv;ane
y;eSu doh;ase
naH eB;iH
s;aH agne
daDAta y;aH
naH v;i
j;agataH tveSasaMdqk
dad;iH g;AH
aBiz;Asati im;e
y;at n;araH
s;amidDe agn;O
bqh;at vaH
pr;a gAya
ca aB;i
ray;im rayivaH
;anu y;at
;indra yukt;AsaH
n;qtamAH n;u
j;anam vajrin
dazasy;an SaSw;im
n;a vqtrat;Urye
tvA n;araH
zruSw;I ray;iH
v;AjasAtO tok;e
z;arDataH aB;izasteH
;ayasaH n;a
indrAgnI Ahuv;aDyE
;A g;AvaH
naH r;ajAMsi
dyumn;eBiH any;AH
As;A ;agne
v;iprAsaH aB;i
v;iSurUpe ;ahanI
v;izaH n;AnA
y;aH matIn;Am
n;a c;akSuH
puruv;AraH aDr;uk
vivid;aTuH yuv;am
jah;i r;akSAMsi
mar;utvantam vqSaB;am
v;ajram bAhv;oH
vA z;Uram
rAtahavyA G;qtAsutI
s;am asmin
pr;a Ut;aye
sukSit;im div;aH
y;asya tr;asanti
pAvak;am r;Ajantam
;adrim zrut;am
k;im can;a
s;ahasA s;ahasvAn
v;qTA y;at
;A param;ABiH
qSv;am san;ema
Gn;an vqtr;AZi
s;AnUni div;aH
niS;adi k;im
BUtam ;atra
doS;A v;astoH
;ati durg;ahAZi
;anu vqtrah;atye
ca zrut;Aya
aviS;A v;anAni
hat;A r;akSAMsi
g;arte vacoy;ujA
m;anojavAH asarji
tat;anTa r;odasI
h;i mAy;AH
rayIZ;Am mah;Am
id;am ;iti
B;araDyE vid;e
;aDArayaH r;odasI
t;e tvA
pIt;aye ;indrAvaruZA
bqh;antam vap;Avantam
t;apasvAn y;aH
te v;ajraH
z;AkAH g;avAm
y;am v;ayanti
n;a p;arA
vay;am ;agne
me k;arZA
kad;A te
pad;am dev;asya
s;OBagAni ;agne
gamBIr;eZa naH
mah;Ani agne
d;ivodAsAya sunvat;e
pratn;aH aDr;uk
j;AyamAnaH urv;I
kr;amaZAya rodasI
am;qtam v;i
vAy;uH n;a
p;atyate vasavya:iH
s;arasvati aB;i
D;anAnAm k;im
sumnAy;avaH Imahe
;A agAt
ap;aH ;oSaDIH
;A Bara
n;a v;astoH
;aVgirasvAn papr;ATa
vqdD;amahAH ;indraH
sah;asrA z;acyA
sut;eSu pr;a
;aDi ;indrAgnI
D;IH ;avase
vA d;akSasya
r;AyaH uB;ayAsaH
n;UtanAsaH ut;a
pr;a v;qSZaH
;indrAgnI t;apanti
asqjaH Urm;im
;ahA iva
am;A ca
vats;AnAm n;a
svit n;u
janazr;iyam dev;am
t;asmAt naH
n;a pr;ayukti
kav;aye ark;asAtO
rAmy;Asu ;ajYAyi
d;akSiZAvAn v;asAnaH
;azvyEH vasavya:iH
;aTarvA n;iH
v;astoH ;avasA
;arZasaH n;iH
indra pUrv;IH
;aBavaH dasma
pate r;aTam
t;anaye y;am
naH D;iyaH
Bar;advAjAya vIra
vanate sud;AnuH
y;aH v;izvasya
naH pur;aH
v;arAMsi ;amitA
avam;asya puruhUta
ih;a syuH
;asakrAm st;utaH
praZen;IH ugr;aH
v;izvA vqtr;am
AsAm Amitr;aH
s;a mandasva
z;AradIH d;art
j;AtavedaH v;icarSaZe
asmE p;ipISate
g;AvaH s;a
Dehi zr;avaH
nAv;A durit;A
naH muYcatam
sma eSu
n;u ant;ar
praTam;aH p;azyata
uzat;aH yakSi
admas;adaH n;a
asm;e praj;AvatIH
sutap;AH qjIS;I
p;Atave camv:oH
v;Aje-vAje h;avyA
havyav;AhanaH t;A
n;a puSyasi
aj;aram suv;Iryam
;A gatam
iy;am D;IH
yuv;oH mitrAvaruZO
;aznasya cit
vqZate ;indram
udv;arIvqjat saMc;akSAZaH
;avaTa v;AjasAtO
tvA v;izve
aj;aram n;avIyaH
svit asti
dqX;Ani sukrato
s;avanam sut;am
enam ;araZye
Ixe ;aDa
pakT;I ark;EH
vqtr;A hanati
zqZavaH im;A
asm;e suv;Iryam
v;qSZaH s;omasya
;aDa bah;u
vAraZ;am ;annam
indra n;qtamABiH
sud;akSam y;ena
vart;iH yATaH
te et;at
s;a s;qYjayAya
rIt;iH ap;Am
sOzravas;A suv;IrA
aB;Ike it;aH
zravasy:aH t;arutraH
asya vyaTate
v;izvAH h;i
h;i dyut;A
d;AsvAn v;aMsat
;it tv;am
v;asvaH uB;ayasya
;indrasya m;artyaH
jaW;aram pqZ;aDyE
juhv:aH n;a
astu zr;eSWaH
avqk;aH rajast;UH
indra citr;AH
rukS;aH ;oSaDISu
;aparaH d;art
p;anyasIm DIt;im
y;at ;indraH
adadAt raBas;am
n;aryam v;asu
;iSaH jah;i
j;anasya rAt;im
im;am ca
y;at vAm
nid;aH ca
anUSata p;ibatam
ukS;amAZAH makS;u
tok;e vA
tv;am trAt;A
dev;ahUtiH uC;a
;indram sut;eBiH
im;am id;am
;indrAgnI j;IvaTaH
t;ardaH Urv;am
h;i Ap;iH
cakr;aTuH hat;AsaH
hav;asA ;A
z;arDataH indra
rajast;UH v;i
n;i akramIt
y;asya ty;at
n;Akam aspqzat
val;asya s;Anum
asm;e Badr;A
;it hqd;A
;indraH astu
BAsi ;ut
riKa kikir;A
vAm;am u
t;AH bADante
gahi prayajyo
v;i BAti
asm;e c;itrakSatra
;ariSwAH Dqt;avrataH
mandasva h;i
vaha d;Evyam
zyen;aH n;a
;avAtA ;uSaH
prayajyo n;a
m;anaH v;i
svast;i v;eSi
asi ;ataH
y;at pur;Am
jarit;uH G;oSi
t;A gqZIhi
;araDrasya raDrat;uraH
h;qdayA kave
dAz;uSe dAH
ty;A cit
uS;asaH y;Aman
tv;Am Ixe
v;ahnayaH h;arI
;arIramat pat;ayat
cit ;adevaH
ajir;aH n;a
iy;am qcy;amAnA
jAt;am jAt;avedasi
vid;aTA jAt;avedasaH
ukT;A n;i
g;AH k;artA
eB;iH varDAse
g;iraH me
ap;Am tv;am
svast;aye zukr;am
agne p;uSkarAt
pqZasva hv;ayAmasi
vAj;I agne
vizvajinvA B;arante
kav;im vizp;atim
n;imizlaH indra
bAhv;oH indra
r;aTe nizqmB;AH
;annam s;a
pIp;Aya s;a
pipyaTuH g;Am
nqv;at te
ant;arikSam amimIta
ray;iH v;iBUtiH
n;a cakry:oH
y;aH Ban;akti
;iSaH yuvasva
rAw s;a
v;ajram pap;iH
r;AjAnO qtuT;A
asya pur;A
sT;AH u
tm;an ;amartyaH
v;EzvAnara t;ava
zasy;amAnAH avantu
praTAn;Am ;apa
jAyate D;armaZaH
paTik;qt v;idAnaH
sp;qDaH s;am
im;e aznuvantu
rAjan aG;azaMsam
;it m;AnuSAZAm
tod;asya DqSat;A
papr;O j;AyamAnaH
vqkS;asya n;u
aznute n;a
z;arIrEH tanUr;ucA
mahn;A ririce
sapary;At irajy;antA
sasAda y;ajIyAn
stuvat;e z;amBaviSWA
sah;a ;upa
sumn;am m;adema
;itarAH g;iraH
d;AsIH ;indra
;antam ca
aspqzat v;i
sr;avantIH pr;a
;ahiGne ;aDa
;ahnAm z;ucijanmanaH
asy;a juS;eTAm
r;odasyoH vIh;i
mahitv;A av;oH
ahan ah;am
pqTiv;I ca
v;i vraj;asya
pUSan ayujmahi
kqta zr;avaH
t;A te
;arAtIH agn;iH
;aDi mUrD;ani
cit ;acyutA
qjIS;I arcatry:aH
maG;onAm tuvikUrm;itamaH
pr;a Bara
mah;aH nqv;ati
d;evO m;artaH
vitantas;Ete ;aDa
praTam;aH vindate
t;ayA samasya
tvA raZv;asaMdqzam
;uSaH devi
s;UryAt ;aDi
;azvAsaH v;ahiSWAH
h;i vikS;u
DAta viDat;e
vanate z;arIrEH
stut;aH vid;aTe
;asi admas;advA
iva rAjan
apnasT;aH ap;asA
br;ahma v;arDanam
s;omam yAtam
indra im;am
prAGarmas;at pit;A
hav;iSmAn Bar;advAjeSu
zoc;iSA rArapIti
asqjaH ap;aH
;indram mar;utaH
r;ekZaH apramqSy;am
te indra
vaH marutaH
z;uciH s;omaH
vqdD;amahAH r;AjA
s;at u
dv;iSaH sv;asQH
n;a dev;AH
;apa sParIH
;asati naH
raT;Itamam kapard;inam
BAs;A zr;avoBiH
div;i p;Arye
cit astu
;it t;at
v;ipraH m;aDu
ar;amaZasam y;ena
z;atruH n;a
iva bqhat;I
pur;u ca
razm;A iva
vahantu juS;eTAm
AB;iH suSwut;iBiH
v;asu viDat;e
;ApaH ;adriH
;ajrAH ;indrasya
zukr;am te
ray;iH v;AjeSu
g;iraH zasy;amAnAH
s;ahamAnam AB;iH
;agne b;ADaH
vEzvAnar;aH v;i
g;IH tuvigrAB;am
v;ariman sUr;iBiH
;oSaDIH p;arvatAn
n;a vqDasAn;aH
d;ADqviH B;araDyE
tvAyat;aH ulok;am
dasyet v;ariSWaH
;anu yemuH
tant;ayaH te
v;i dqX;A
raTeSW;AH ;A
;aBayam t;asya
p;aniSWaH ;A
viDema n;amoBiH
itT;A ;itarAH
;apraTatam jIv;ase
ca y;e
apaptan n;araH
v;izve mar;utaH
p;atiH maG;avA
pApatIti pr;a
svit vakSy;Ami
y;asya dqzat;iH
mahitv;A ;azvA
h;i mAt;A
;anu te
;anu tv;am
gAt;um iSe
zat;AyuSam tveS;aH
s;A naH
raT;IH aBavaH
y;am yuv;am
druS;advA raGup;atmajaMhAH
s;u mqxatam
maMsIm;ahi jigIv;AMsaH
purukS;oH y;aH
;annam ;atti
vajrahasta v;izvA
tvA vanv;an
ap;Am t;AsAm
svaBAno s;A
sAD;avaH ;aram
r;AjantI asy;a
;araDram ugrA
zat;A nAsatyA
uttAn;ahastaH yuvay;uH
vizv;acarSaZiH saj;oSaH
qtap;AH qtej;AH
BindAn;AH nyarT;Ani
Danad;AH s;omavqdDaH
vajrin z;avasA
z;avasA h;anti
vAvqD;anta areZ;avaH
jAt;aH ;asamAtyojAH
zar;adaH ;induH
baBUva t;at
mam;atA iva
te ;ojaH
;adabDeBiH t;ava
yATaH ;ajrAn
DAyi v;ajrasya
pariy;Asi ;aMhaH
;adriH ;indum
s;a vetas;um
t;am ;A
vqkS;asya pr;a
ruj;at ;arugZam
dy;OH cit
r;ASwrI ;ati
dev;aH Iyate
v;anA v;izvA
dev;AH kqSv;a
s;aKAyA ut;a
aj;araH sv:arvAn
vAm bravAma
t;am pqC;antaH
n;qByaH ;A
;indrAya y;aH
pratiB;USaTa v;eda
y;ena v;aMsAma
;indraH var;aziKasya
n;a j;aMhaH
p;ari pAhi
zravasy;A vqc;IvantaH
n;Qn ;amartyaH
maGavan maGavattv;asya
B;Uyo-BUyaH ray;im
kS;ayat ;it
t;ava kr;atvA
g;arBam ;aditiH
m;anasA somap;eyam
t;UrvayAZam DqSat;A
s;iSakti any;aH
n;u priy;am
n;amasA sadema
jy;otiH n;ihitam
dAyi mah;e
;indrAgnI ukTavAhasA
t;UrvantaH d;asyum
y;at tr;iH
y;asya viDat;aH
sapr;aTaH z;arma
te eB;iH
;A ISate
pqTivy;AH ix;aH
y;am yajY;aH
vananti DqSat;A
vEzvAnar;am qt;e
gqZat;e tur;Aya
ark;asAtO tv;am
devi sarasvati
;IzAnam rAy;aH
asy;a pUrvy;aH
;apasaH pAr;e
s;at asya
vanuSy;At t;am
IxiSva y;aH
cikit;uSA s;arasvatI
pit;A mAt;A
paTaH pate
priy;am ;arca
manye bqh;at
;aDqSwam Card;iH
UhaTuH sUry;AyAH
t;A valg;U
dev;asya vay;am
pr;a u
y;at ha
rodasI asm;e
vA y;e
p;ari vy;aTiH
Bavantu ukS;aZaH
saMc;araZIH vats;AnAm
Imahe ;indram
ket;um adaDuH
pr;ati sv;asaram
s;ahase ;asAmi
yuyujAn;aH Iyate
n;i sma
astu Ut;I
kv:a ty;A
akt;Un v;i
iS;e ady;a
indra dyumn;ahUtO
n;a dardar
tok;Aya t;anayAya
sam;qDaH vizpate
h;ariByAm baBr;iH
indriy;am te
v;imitAni c;akSasA
gqZat;e citrarAtI
dev;AH ;ekam
dyumn;ahUtO s;aKAyaH
p;ArTivAni jr;ayAMsi
zvitAn;aH tanyat;uH
saty;aH s;atvA
m;anuSaH iDAn;aH
saKy;EH z;atroH-zatroH
dadAza ev;a
;anu paptan
s;uSwutA DiSZyA
pitr;oH up;asTe
ih;a smasi
t;antum s;a
y;aTA p;ibATaH
s;u vqtrah;atye
vqSaB;aH roravIti
agnijihv;AH qtas;ApaH
v;azasya paryet;A
s;Idan qt;asya
anuz;Asati y;aH
rAjan sarv;atAtA
v;AjeSu vAjini
n;aktam y;aH
y;at naH
avAt;e ap;aH
n;avyasyA z;aviSWam
v;eda v;izvasya
tv;am ty;A
k;araZam kqt;am
vqtr;eSu indra
s;arasvatI v;AjeBiH
tv;Am h;i
indra v;iprAn
m;artaH zaz;amate
tv;am sIm
rocayat ar;ucaH
naH viB;AvA
indra nUn;am
gamBIr;ayA qSv;ayA
hotar dev;eBiH
aB;i arcanti
n;a tveS;aH
sAk;am s;Uryam
san;im ut;a
damB;ayat ca
z;arDaH vA
s;omeSu sutap;AH
suz;evO s;omArudrO
mah;aH ;A
pazup;AH d;amUnAH
sUr;iByaH gqZat;e
t;ava Ut;iBiH
vIx;ave n;amate
y;aH ;indrAv;aruZO
;Urjam DAH
aruS;A sUyavasy;U
Avat n;amIm
sumat;im r;odasyoH
v;izve dev;AH
agn;iH aps;Am
dazasy;a naH
ark;EH br;ahma
vasavya:iH t;A
nUn;am ap;aH
ray;iH syAt
johavImi ;indra
;indram svast;aye
DqSZo d;ayase
d;art triMz;acCatam
tv;am asm;Asu
h;anti vqtr;am
r;atnam iS;e
t;am pUS;A
punAn;AH n;iH
r;aTasya BAn;um
zr;avase iS;e
akqZot jy;otiSA
gotraB;it vajraB;qt
tanv:e v;ayaH
p;qtanAsu pr;a
Aj;O sast;aH
h;i y;aH
qgm;iyam ;A
agne puruD;A
indra yamyAH
h;otAram divy;am
pUS;A ziTir;Am
zikSati ;upa
cit azrIr;am
rip;ave n;i
;ajrAn t;A
vay;Am iva
duroZ;e barh;iSaH
;A dakSiZatr;A
cit vasat;eH
purumAy;asya s;ahyoH
y;atra kv:a
n;aryam carSaZ;iByaH
s;u naH
hitv;I z;iraH
nAsatyA sah;asrA
zqZv;antam pUS;aZam
praTam;asya BakS;aH
mah;aH v;Ajasya
p;ariSiktam asm;e
santu s;omArudrA
dAz;uSe narA
nutT;AH ;acyutam
purAj;Am aj;aram
ranDaya y;Am
v;Acam ;upa
pr;a BaraH
m;AnuSA y;ajaDyE
s;omaH indra
tv;am ap;aH
jAt;avedAH drv:annaH
BUT;aH r;odasI
k;asya svit
qSv;AH gamBIr;e
naH zr;oSi
m;andatu tvA
z;atrUn t;ava
dv;iH y;at
aDvar;am dev;avItaye
vakSat animAn;aH
y;at s;adma
aG;azaMsam ajara
v;i mrada
bqhat;IH Ar;eaGAH
naH pAhi
mAtar;izvA parAv;ataH
AvaH d;ivodAsam
s;a naH
saMy;atam indra
aBUvan ;indraH
v;arDAn m;AsAH
;aditsantam cit
t;ava ;azvAsaH
v;qSZaH goSuy;uDaH
iSay;aDyE s;A
dardar s;udAman
g;iraH daDir;e
aDvary;uH asTAt
nah;i tvA
h;i vAm
s;ujuSwA s;arasvatI
;AryAya v;izaH
sUr;iByaH indrAvaruZA
v;qSZyam ap;Am
s;omArudrO ih;a
;ahexamAnaH ;upa
ruj;antaH y;e
pqT;u zrav;Ayyam
vedy;A ;Anaw
iva s;AraTiH
Imahe devay;antaH
tveS;aH raBasAn;aH
kqtam yuyut;am
mandr;am divy;am
ix;aH pad;e
bqh;antam mar;utvantam
aps;u v;i
y;ajvane pqZat;e
r;erihAZA s;a
devA ray;im
s;Anu p;qzneH
naH s;arasvatI
;anUnam tav;asam
riz;antIH zudD;AH
As;A vid;uSwaraH
duDra KidvaH
svojaH ruj;aH
j;IvaTaH yuv;am
vIr;AH Br;AjajjanmAnaH
n;a BAnum;adBiH
v;aruZaH c;iketat
vartatAm indra
stqZIte manIS;A
vezy:A ca
t;at te
viDat;e r;atnam
y;A BAn;unA
m;imAnA ap;aH
duC;unAH m;adema
en;A yajY;EH
n;u s;ahaH
h;an acyutacyut
pUt;abanDU qt;A
kSit;ayaH pqTivy;Am
pAvak;e tv;am
g;AH asqjaH
sut;am karamB;am
naH pratn;am
pratiSW;iH purumAy;asya
br;avat s;am
r;ajaH ant;arikSam
;asazcantI B;UriDAre
praj;ABiH jAyate
uB;A v;Ajasya
t;aruSi y;at
navanta vEzvAnar;am
j;AyamAnaH pitr;oH
s;an zukr;aH
ady;a savitar
;okaH ;aCa
hariSW;AH s;aH
aB;i anUSi
;indraH ca
paZ;In v;acoBiH
AB;iH gIrB;iH
tv;am h;otA
v;izvasya m;eDiraH
tr;asanti z;avasaH
sady;aH cit
;indram kuv;it
dv;eSAMsi ;A
kqSw;IH avanoH
m;anma azy;Ama
t;ava pr;a
h;avIman ;aDi
vartete r;ajasI
v;aruZasya p;AzAt
kqZv;Ete tok;e
y;at g;AvaH
t;u s;omam
ca dev;atA
v;i val;asya
v;ariSWaH asya
Ij;e yajY;eSu
p;AdA d;uvaH
cakqS;e v;arDanAni
g;iraH ;upa
;ojIyAn tav;asaH
ray;iH v;AjaH
vacan;asya m;aDvaH
usr;iyAByaH v;i
;atra ;aDa
ark;eZa biBiduH
amarm;aZaH p;arA
v;izvAH ajurya
;A m;artaH
k;utra cit
maMh;anA m;andamAnAH
sv;aYcam pr;a
barh;iH ;aCa
pipqtam ;arvataH
sikt;A v;iSurUpAZi
vizv;ahA dIdiv;AMsam
ca m;anma
t;avIyAn kqt;abrahmA
h;i r;atnam
s;iSvap dId;ayat
Urm;iBiH pArAvataGn;Im
vAj;i naH
;indrAviSZU ;apasaH
BUH pit;A
p;ibATaH ;anDaH
v;AtajUtAsaH agne
ABiH yAhi
ranDaya y;eSu
v;i vocaH
gn;AH ca
Gan;e vqtr;AZAm
dy;Am apaptan
p;atane p;Adi
dev;AH n;ABim
gqZ;anti v;i
;ayAmi sr;uk
niy;udBiH puruhUta
iS;iDaH ;anu
mitr;aH ;adButaH
pur;A cit
;indrasya s;aKA
dAv;ane y;aH
;indraH ;aSAXam
;avAsayaH ;apa
z;azvatInAm nit;ozanam
ket;um vay;uneSu
n;a davidyot
d;asyum Ay;avaH
asya tan;UH
yuj;A ;indraH
vadAti ;avareZa
v;izve y;at
yajY;EH t;am
;A t;A
darzat;aH BUt
n;avyasA s;ahasaH
ut;a naH
tarema t;ava
yuv;am b;aw
tvA pATy;aH
te svast;im
vay;am vqkS;asya
suvqkt;im ;avIH
;ut u
te Ad;izAm
iva dy;oH
m;Arutam d;aDAnAH
tv;am dUt;aH
vajr;I z;avasA
ca ;indrAsomA
BakS;aH im;AH
Ad;izAm ;arAtIH
vocaH y;adi
j;AyamAnA Gor;A
asm;e samudr;aH
aB;i B;Uma
ut;a maDyam;ABiH
indra satr;A
ih;a t;am
suv;Iryam vay;am
cakAra r;aZAH
mah;I s;A
naH ;iSam
m;artAsaH dev;avItaye
;apa dqX;Ani
suv;IrAH t;am
zasy;ase dy;uBiH
smasi p;ari
sady;aH y;aH
aj;AzvaH pazup;AH
vAm;asya deva
sUr;ayaH daDir;e
naH paT;iBiH
agne sam;iDA
t;ava ;avasA
mitrAvaruZA spUrD;an
t;A h;i
s;a zvitAn;aH
sma eDi
puruhUt;A ady;a
pAhi pr;a
svast;aye huv;ema
;it syAma
y;aH aB;iBUtyojAH
c;arati r;oruvat
vasataH asya
;ArAm b;iBarSi
vavqm;ahe m;ahi
dUred;qzA BAs;A
naH BaradvAjav;at
p;ArTivAni divy;Ani
;arvataH n;Qn
qZ;oH ap;aH
;indram yUy;am
kal;azaH somaD;AnaH
te ;agne
arv;Ak n;AsatyA
gAt;um indra
v;ayaH DAt
dev;aH Ad;ize
mAy;AH ;A
d;akSiZe indra
;amartyaH aruS;aH
;avase agn;iH
j;aranti zar;adaH
raZayanta s;aMdqSwO
y;aH vAvqD;e
n;a tur;aH
mahin;A n;Akam
v;etTa h;i
sutapAH z;aMtamAni
cit ;indram
g;iraH ukT;A
kqZuh;i p;arAcaH
t;A v;izvA
vadAti y;aH
tqnDi v;AjAn
p;ari yuv;oH
y;aH mar;utAm
zruDIyat;aH cit
t;iSWat h;arI
;indrAgnI yuv;Am
sug;eSu ut;a
D;armaZaH p;ari
naH citr;atamaH
h;i vAm;asya
caranti y;ajvanaH
vqtrah;antamam y;ena
vividre k;im
akt;uBiH matIn;Am
ark;EH ;agne
yajY;am dr;aviZam
v;ahantIH n;i
dy;AvaH ;indram
tAy;uH ;ati
iva asi
tr;iH mar;utaH
hinomi ;indrAviSZU
asy;AH Diy;aH
te ;A
;agne ray;im
;iti pUS;aZam
Bara j;AtavedaH
s;ahasvAn t;am
marDataH ugr;A
;A niS;adya
tv;am t;ujim
;arca dev;Aya
ady;a saman;A
y;at p;atane
y;aH adriB;it
;asaTaH asya
t;ava vrat;e
z;am c;atuSpade
s;A ;A
mandr;asya kav;eH
Ixate yajY;eSu
d;akSiZA maG;onI
tv;at v;izvA
pUSan n;AvaH
vay;am y;at
;A samudr;AZi
m;ahi naH
br;avAma dasra
m;artyeSu y;aH
jaVGanat draviZasy;uH
n;a az;aniH
d;ame ;A
sut;e indra
ap;aH sv:ar
samudr;am ev;a
