mah;e y;uvAnam
;ava t;e
soma m;aDumattamaH
m;ahi dyukS;atamaH
tr;iH sapt;a
;avanti asya
p;ari m;adena
n;a codayaH
v;izvA B;uvanA
paYc;asu t;e
draps;AH udapr;utaH
v;AjAn soma
d;aDAta k;etam
vAy;um ;A
naH sutAsaH
;iti kSara
j;anmanA dev;aH
punAn;aH varDa
hav;iH t;ena
taranti duSk;qtaH
qt;Aya pIt;aye
g;AvaH ;indum
j;uSwaH ;indrAya
s;omaH sut;aH
p;avase mat;I
hit;aH n;qBiH
akSaran sut;AH
y;aH savit;A
gqZAn;aH aB;i
vrat;Ani n;a
z;uciH jAt;aH
qtAy;uBiH mqjy;amAnaH
vacyasva sudakSa
v;adan satyakarman
sut;am B;arAya
paz;O n;a
dev;avAtam aps;u
arohayaH div;i
sut;aH k;ArSman
dev;An v;izvAni
vidv;An z;UraH
aGny;AH aB;i
pur;A naH
;adabDaH suraB;intaraH
zriy;e s;am
h;i sma
ca pinvase
vIt;I j;anasya
j;anam eS;a
al;Ayyasya paraz;uH
;indram g;aCantaH
naH arAtIv;A
B;UmI ;A
g;avyUtiH ;aditeH
g;aviSwaye mah;e
pr;a kqSwih;A
;avizat eS;a
Im Gqtad;uhaH
suparZ;aH avyaT;iH
sapt;a yahv;IH
upavakt;A iva
v;Ajam saniSy;an
n;a vqSw;iH
asiSyadat aB;i
r;ajAMsi D;ArayA
qt;asya mAt;araH
jigatn;avaH Druv;AH
arSati kr;atvA
y;atra mumucm;ahe
div;e-dive pur;UZi
varivov;it vayoD;AH
m;adyam r;asam
div;aH pqTivy;AH
m;qDaH jahi
santi s;etavaH
indriy;am jy;AyaH
paT;A y;adi
mAsva bqhat;IH
z;izum jajYAn;am
g;AvaH parIZas;am
krIxati ;adriBiH
g;omantam ;invati
pAn;aH am;qtasya
t;am ;induH
v;adan soma
kS;ara sahasr;iZIH
yAhi niSkqt;am
;indo v;izvABiH
Irate t;antum
pavasva y;aH
r;etasi sUn;oH
qt;EH ;avarData
r;asaH ;avyaH
pavate s;omaH
pavamAna D;AmanI
D;iyaH et;e
pariSw;uBaH gqZAn;aH
