MS	2.1.8p:9.13	124
MS	2.11.6–KS	n.118
MS	3.10.4p:134.8	35
KS	12.7p:169.13 66
KS	30.1p:182.9 n.98
KS	35.12m	105
TS	1.3.6.2m	132
TS	2.6.2.3p	124
TS	4.2.5.4m n.142
TS	5.2.5.5p; 4.9.2p	65
TS	5.4.12.2p	n.118
TS	7.3.4.1p	65
AB	1.27.1	124
AB	2.16.4	124
AB	3.21.2	101
AB	8.23.6	143
JB	1.109	66
JB	1.358:4	117
JB	2.442:2	n.346
JB	3.350	123
JB	3.368:13	124
ŚB	1.4.1.40	123
ŚB	1.8.1.4	124
ŚB	1.8.1.5	123
ŚB	2.1.2.13	123
ŚB	4.2.1.7	123
ŚB	4.3.1.11	124
ŚB	4.5.1.10	123
ŚB	5.3.2.6	127
ŚB	11.5.1.10	123
ŚB	11.5.1.11	124
ŚB	13.5.4.12	143
ŚBK	5.1.5.11	66
ŚBK	5.5.4.4	123
ŚBK	7.2.1.7	127
TB	2.8.8.9m	n.190
TB	3.9.22.1p	125
BĀU	2.4	n.346
KaṭhUp	1.2.10	140
TĀ	1.11.4p	125
TĀ	5.7.5p	66
Pāṇ	1.1.11	n.27
Pāṇ	1.1.12	n.175
Pāṇ	3.1.22	127
Pāṇ	3.1.40	123
Pāṇ	3.1.42	119
Pāṇ	3.2.105–109	123
Pāṇ	3.4.12	133
Pāṇ	3.4.13	133
Pāṇ	V 3.61f.	n.139
Pāṇ	6.2.56	57
Pāṇ	6.4.87	105
Pāṇ	6.4.158f.	n.140
Pāṇ	7.1.48	142

Y	28.2	136
Y	28.9	106;n.222
Y	29.3	136;n.303
Y	29.5	66;n.167
Y	29.6	148
Y	29.7	n.167
Y	29.9	136
Y	29.11	66
Y	30.3	70;90
Y	30.3;6	90
Y	31.1	n.53
Y	31.2	136
Y	31.3	136
Y	31.4	95
Y	31.5	136;n.303
Y	31.7	45
Y	31.9	n.186
Y	31.13	109
Y	32.13	125
Y	32.14	118
Y	33.11	14
Y	33.12	20
Y	34.1	66
Y	34.7	n.144
Y	34.13	n.258
Y	42.6	121
Y	43.14	n.298
Y	44.3	136
Y	44.8	n.258
Y	44.13	99
Y	44.14	134;136
Y	44.15	66
Y	45.2	66
Y	45.4	66
Y	46.15	109
Y	48.7	100
Y	49.1	n.52
Y	50.1	66
Y	51.2	n.258
Y	53.5	125
Y	53.6;7	113
Y	53.9	136
YH	35.10	76
YH	36.3	150
YH	8.4	71
YH	9.10	42
YH	10.1	107
YH	58.4	126
Yt	1.29	19
